Kecamatan,Jumlah Pangkalan,Persentase Distribusi
PAMULANG,252,23.16
PONDOK AREN,205,18.84
CIPUTAT,187,17.19
SERPONG,143,13.14
CIPUTAT TIMUR,107,9.83
SERPONG UTARA,100,9.19
SETU,94,8.64
